Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 18 Mar 2022 20:25:14 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2013-0528-USA,2013,0528,,Natural,Meteorological,Extreme temperature,Severe winter conditions,Snow/Ice,,United States of America (the),USA,Northern America,Americas,"Michigan, Ohio, New York, Vermont, Maine, Kansas, Iowa, Texas, Wisconsin, Illinois, Minnesota, Arkansas, Louisiana, Mississippi, Kentucky provinces",,,,,,,,,°C,,,,,2013,12,19,2013,12,22,19,,,,,,,,,200000,232635,85.97164225,1,3217;3227;3229;3230;3231;3232;3233;3236;3237;3238;3246;3249;3257;3259;3263,,"Arkansas, Illinois, Iowa, Kansas, Kentucky, Louisiana, Maine, Michigan, Minnesota, Mississippi, New York, Ohio, Texas, Vermont, Wisconsin (Adm1)."
2013-0117-USA,2013,0117,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"California, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",,,,,,,,,Kph,,,,,2013,4,7,2013,4,11,4,,,,,,,1500000,1744761,1600000,1861079,85.97164225,1,3214;3217;3218;3219;3221;3223;3224;3227;3228;3229;3230;3231;3232;3234;3236;3237;3238;3239;3240;3241;3245;3247;3248;3249;3250;3254;3255;3256;3257;3260;3262;3263;3264,,"Alabama, Arkansas, California, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming (Adm1)."
2013-9369-BOL,2013,9369,,Natural,Climatological,Drought,Drought,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Tarija, Santa Cruz, Chuquisaca, Cochabamba, Beni, La Paz provinces",,,,,,Yes,,,Km2,,,,,2013,1,,2013,9,,,,340355,,340355,,,,,,,85.97164225,1,40443;40444;40445;40446;40449;40450,,"Beni, Chuquisaca, Cochabamba, La Paz, Santa Cruz, Tarija (Adm1)."
2014-9457-BOL,2014,9457,,Natural,Climatological,Drought,Drought,,,Bolivia (Plurinational State of),BOL,South America,Americas,Santa Cruz province,,,,,,Yes,,,Km2,,,,,2014,10,,2014,10,,,,51180,,51180,,,,,,,87.36629784,1,40449,,Santa Cruz (Adm1).
2014-0009-CAN,2014,0009,,Natural,Meteorological,Extreme temperature,Cold wave,,,Canada,CAN,Northern America,Americas,"Ontario, Manitoba, Saskatchewan provinces",,,,,,,,-48,°C,,,,,2014,1,1,2014,1,9,,,,,,,,,,,,87.36629784,1,827;833;836,,"Manitoba, Ontario, Saskatchewan (Adm1)."
2013-0542-IDN,2013,0542,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,,,Yes,,,,,,3.17,98.392,,,2013,9,,2013,12,,,,29727,,29727,,,,,,,85.97164225,2,,18227,Karo (Adm2).
2014-0240-PHL,2014,0240,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Henry (Matmo),Philippines (the),PHL,South-Eastern Asia,Asia,"Region II, Region IV-A, Region IV provinces",,Rain,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2014,7,22,2014,7,23,2,,683,,683,,,,,,,87.36629784,1,2357;67166;67167,,"Region II (Cagayan Valley), Region IV (Southern Tagalog), Region IV-A (Calabarzon) (Adm1)."
2014-0183-MEX,2014,0183,,Natural,Meteorological,Storm,Tropical cyclone,,Boris,Mexico,MEX,Central America,Americas,"Chiapas, Oaxaca provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,40,Kph,,,,,2014,5,30,2014,6,6,,,,,,,,,,,,87.36629784,1,2032;2047,,"Chiapas, Oaxaca (Adm1)."
2014-0020-PHL,2014,0020,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Depression Agaton ( (Lingling),Philippines (the),PHL,South-Eastern Asia,Asia,"North Cotabato, South Cotabato districts (Region XII (Soccsksargen) province), Autonomous region in Muslim Mindanao (ARMM), Region X (Northern Mindanao), Region XI (Davao Region), Region XIII (Caraga) provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2014,1,19,2014,1,20,79,86,1148621,,1148707,,,,,12591,14412,87.36629784,1;2,2368;67156;67160;67161,24271;24273,"Autonomous region in Muslim Mindanao (ARMM), Region X (Northern Mindanao), Region XI (Davao Region), Region XIII (Caraga) (Adm1). North Cotabato, South Cotabato (Adm2)."
2014-0055-PHL,2014,0055,,Natural,Meteorological,Storm,Tropical cyclone,,Topical storm Basyang (Kajiki),Philippines (the),PHL,South-Eastern Asia,Asia,"Antique, Negros Occidental districts (Region VI (Western Visayas) province), Cebu (Region VII (Central Visayas) province), Biliran, Leyte, Southern Leyte districts (Region VIII (Eastern Visayas) province), Agusan del Norte, Dinagat, Surigao del Norte districts (Region XIII (Caraga) province)",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2014,1,31,2014,2,1,6,,47740,,47740,,,,,3200,3663,87.36629784,2,,24247;24251;24253;24256;24258;24260;24275;67168;67169,"Agusan Del Norte, Antique, Biliran, Cebu, Dinagat, Leyte, Negros Occidental, Southern Leyte, Surigao Del Norte (Adm2)."
2014-0227-PHL,2014,0227,TC-2014-000092,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Rammasun (Glenda),Philippines (the),PHL,South-Eastern Asia,Asia,"National Capital region (NCR), Region III (Central Luzon), Region IV-A (Calabarzon), Region IV (Southern Tagalog), Region V (Bicol region), Region VIII (Eastern Visayas) provinces",,Flood,"Slide (land, mud, snow, rock)",Yes,,Yes,,150,Kph,,,,,2014,7,15,2014,7,15,111,1250,4653716,,4654966,,,,,820576,939236,87.36629784,1,2355;2361;2364;67165;67166;67167,,"National Capital region (NCR), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region), Region VIII (Eastern Visayas) (Adm1)."
2014-0333-MEX,2014,0333,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Odile,Mexico,MEX,Central America,Americas,"Cabo San Lucas city (Los Cabos area, La Paz district, Baja California Sur province)",,Flood,Rain,,,,,205,Kph,,,,,2014,9,10,2014,9,17,6,135,75000,,75135,,,1200000,1373527,2500000,2861515,87.36629784,2,,19573,La Paz (Adm2).
2014-0417-MEX,2014,0417,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Trudy,Mexico,MEX,Central America,Americas,"Tlacoachistlahuaca, Huamuxtitlan, Tlalixtaquilla, Malinaltepec districts (Guerrero province), Oaxaca province",,"Slide (land, mud, snow, rock)",Flood,,,Yes,,,Kph,,,,,2014,10,18,2014,10,20,6,,30000,,30000,,,,,2000,2289,87.36629784,1;2,2047,19955;19965;19986;19989,"Oaxaca (Adm1). Huamuxtitlan, Malinaltepec, Tlacoachistlahuaca, Tlalixtaquilla De M. (Adm2)."
2014-0479-PHL,2014,0479,TC-2014-000160,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Hagupit' (Ruby),Philippines (the),PHL,South-Eastern Asia,Asia,"Bataan district (Region III (Central Luzon) province), Agusan Del Norte, Agusan Del Sur, Surigao Del Sur, Surigao Del Norte districts (Region XIII (Caraga) province), National Capital region (NCR), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",,"Slide (land, mud, snow, rock)",Flood,Yes,,,7951,210,Kph,,,,,2014,12,12,2014,12,12,18,916,4149484,,4150400,,,,,113878,130345,87.36629784,1;2,2355;2361;2362;2363;2364;67166;67167,24220;24275;24276;24278;67169,"National Capital region (NCR), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) (Adm1). Agusan Del Norte, Agusan Del Sur, Bataan, Surigao Del Norte, Surigao Del Sur (Adm2)."
2014-0390-PHL,2014,0390,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Kalmaegi (Luis),Philippines (the),PHL,South-Eastern Asia,Asia,"Ilocos Norte, La Union, Pangasinan districts (Region I (Ilocos region) province), Cagayan, Isabela, Nueva Vizcaya districts (Region II (Cagayan Valley) province), Negros Occidental district (Region VI (Western Visayas) province), Rizal district (Region IV-A (Calabarzon) province), Apayao, Benguet, Kalinga districts (Cordillera Administrative region (CAR) province), National Capital region (NCR), Region III (Central Luzon) provinces",,Transport accident,Flood,,,,,130,Kph,,,,,2014,9,10,2014,9,16,4,1,431085,,431086,,,,,19183,21957,87.36629784,1;2,2355;67165,24205;24206;24208;24211;24213;24214;24216;24217;24218;24235;24251,"National Capital region (NCR), Region III (Central Luzon) (Adm1). Apayao, Benguet, Cagayan, Ilocos Norte, Isabela, Kalinga, La Union, Negros Occidental, Nueva Vizcaya, Pangasinan, Rizal (Adm2)."
2014-0330-PHL,2014,0330,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical strom Fung-Wong (Mario),Philippines (the),PHL,South-Eastern Asia,Asia,"Dagupan, Lingayen areas (Pangasinan district, Region I (Ilocos region) province), Pampanga district (Region III (Central Luzon) province), Metropolitan Manila district (National Capital region (NCR) province)",,"Slide (land, mud, snow, rock)",Transport accident,,,,,85,Kph,,,,,2014,9,17,2014,9,22,22,16,2052141,,2052157,,,,,75783,86742,87.36629784,2,,24210;24214;24223,"Metropolitan Manila, Pampanga, Pangasinan (Adm2)."
2014-0497-PHL,2014,0497,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Jangmi' (Seniang),Philippines (the),PHL,South-Eastern Asia,Asia,"Palawan district (Region IV (Southern Tagalog) province), Antique, Capiz, Negros Occidental districts (Region VI (Western Visayas) province), Bohol, Cebu, Siquijor districts (Region VII (Central Visayas) province), Leyte, Samar, Southern Leyte districts (Region VIII (Eastern Visayas) province), Zamboanga Del Sur district (Region IX (Zamboanga Peninsula) province), Bukidnon, Camiguin, Lanao del Norte, Misamis Oriental districts (Region X (Northern Mindanao) province), Compostela, Davao del Norte, Davao Oriental districts (Region XI (Davao Region) province), Region XIII (Caraga) province",,"Slide (land, mud, snow, rock)",,,,,,210,Kph,,,,,2014,12,28,2014,12,31,72,,578549,,578549,,,,,17688,20246,87.36629784,1;2,2368,24233;24247;24248;24251;24252;24253;24255;24258;24260;24261;24262;24263;24265;24266;24267;24269;24272;67164,"Region XIII (Caraga) (Adm1). Antique, Bohol, Bukidnon, Camiguin, Capiz, Cebu, Compostela, Davao del Norte, Davao Oriental, Lanao Del Norte, Leyte, Misamis Oriental, Negros Occidental, Palawan, Samar, Siquijor, Southern Leyte, Zamboanga Del Sur (Adm2)."
2014-0385-MEX,2014,0385,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Dolly,Mexico,MEX,Central America,Americas,"Tamaupilas, Veracruz provinces",,Rain,,,,,,75,Kph,,,,,2014,9,4,2014,9,8,1,,1500,,1500,,,,,500,572,87.36629784,1,2055;2057,,"Tamaulipas, Veracruz (Adm1)."
2014-0325-MEX,2014,0325,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Marie,Mexico,MEX,Central America,Americas,"Oaxaca, Guerrero provinces",,Flood,,,,Yes,,220,Kph,,,,,2014,8,22,2014,9,2,3,,30000,,30000,,,,,14000,16024,87.36629784,1,2039;2047,,"Guerrero, Oaxaca (Adm1)."
2014-0386-MEX,2014,0386,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Norbert,Mexico,MEX,Central America,Americas,"La Paz district (Bafa California Sur province), Manzanillo district (Colima province), Mazatlan district (Sinaloa province), Baja Peninsula, Chihuahua, Jalisco, Nayarit,",,Flood,,,,,,205,Kph,,,,,2014,9,2,2014,9,11,3,,7500,,7500,,,,,25000,28615,87.36629784,1;2,2029;2033;2041;2045,19573;19818;20891,"Baja California, Chihuahua, Jalisco, Nayarit (Adm1). La Paz, Manzanillo, Mazatlan (Adm2)."
2014-0474-PHL,2014,0474,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Sinlaku' (Queenie),Philippines (the),PHL,South-Eastern Asia,Asia,"Palawan district (Region IV (Southern Tagalog) province), Negros Occidental district (Region VI (Western Visayas) province), Bohol, Cebu, Negros Oriental districts (Region VII (Central Visayas) province), Southern Leyte district (Region VIII (Eastern Visayas) province), Misamis Occidental, Misamis Oriental districts (Region X (Northern Mindanao) province), Davao del Sur district (Region XI (Davao Region) province), Dinagat, Surigao del Norte, Surigao del Sur districts (Region XIII (Caraga) province)",,Flood,,,,,,,Kph,,,,,2014,11,27,2014,11,28,12,,4695,,4695,,,,,,,87.36629784,2,,24233;24251;24252;24253;24254;24260;24264;24265;24268;24278;67168;67169,"Bohol, Cebu, Davao Del Sur, Dinagat, Misamis Occidental, Misamis Oriental, Negros Occidental, Negros Oriental, Palawan, Southern Leyte, Surigao Del Norte, Surigao Del Sur (Adm2)."
2014-0044-IDN,2014,0044,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,,,,,,,,,3.17,98.392,,,2014,2,1,2014,2,1,32,2,32000,,32002,,,,,83000,95002,87.36629784,2,,18227,Karo (Adm2).
2014-0064-IDN,2014,0064,VO-2014-000022,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,"Bantul, Kota Yogyakarta, Kulonprogo, Sleman districts (Daerah Istimewa Yogyakarta province), Boyolali, Kebumen, Kota Magelang, Kota Surakarta, Magelang, Purworejo, Temanggung, Wonogiri districts (Jawa Tengah province), Blitar, Kediri, Kota Blitar, Kota Kediri, Kota Malang, Kota Surabaya, Malang, Pacitan, Ponorogo districts (Jawa Timur province), Kota Mataram district (Nusatenggara Barat province)",,,,,,,,,,-7.93,112.308,,,2014,2,14,2014,2,14,7,70,83088,,83158,,,,,103000,117894,87.36629784,2,,17981;17983;17984;17985;18034;18041;18043;18047;18050;18055;18061;18062;18066;18072;18073;18074;18076;18080;18089;18092;73736;73780,"Bantul, Blitar, Boyolali, Kebumen, Kediri, Kota Blitar, Kota Kediri, Kota Magelang, Kota Malang, Kota Mataram, Kota Surabaya, Kota Surakarta, Kota Yogyakarta, Kulonprogo, Magelang, Malang, Pacitan, Ponorogo, Purworejo, Sleman, Temanggung, Wonogiri (Adm2)."
2014-0127-MEX,2014,0127,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,"Guerrero, Morelos, Distrito Federal, Michoacan provinces",,,,,,,,7,Richter,17.397,-100.9723,09:27,,2014,4,18,2014,4,18,,,381,,381,,,,,,,87.36629784,1,2036;2039;2043;2044,,"Distrito Federal, Guerrero, Michoacan, Morelos (Adm1)."
2014-0234-MEX,2014,0234,EQ-2014-000096,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Chiapas province,,,,,,,,7,Richter,14.724,-92.4614,,,2014,7,7,2014,7,7,3,,27000,,27000,,,,,,,87.36629784,1,2032,,Chiapas (Adm1).
2014-0331-PHL,2014,0331,,Natural,Geophysical,Volcanic activity,,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Tabaco, Ligao, Legazpi city, Malilipot, Daraga, Camalig, Guinobatan, Sto. Domingo areas (Albay district, Region V (Bicol region) province)",,,,Yes,,Yes,,,,13.257,123.685,,,2014,9,16,2014,12,3,,,60545,,60545,,,,,,,87.36629784,2,,24240,Albay (Adm2).
2015-0017-PHL,2015,0017,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Amang' (Mekkhala),Philippines (the),PHL,South-Eastern Asia,Asia,"Albay, Camarines Norte, Catanduanes, Sorsogon districts (Region V (Bicol region) province), Cebu district (Region VII (Central Visayas) province), Eastern Samar, Samar districts (Region VIII (Eastern Visayas) province)",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2015,1,19,2015,1,19,2,,21687,,21687,,,,,1000,1143,87.46993221,2,,24240;24241;24243;24245;24253;24257;24261,"Albay, Camarines Norte, Catanduanes, Cebu, Eastern Samar, Samar, Sorsogon (Adm2)."
2015-0371-PHL,2015,0371,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Goni (Ineng),Philippines (the),PHL,South-Eastern Asia,Asia,"Ilocos Norte, Ilocos Sur districts (Region I (Ilocos region) province), Region II (Cagayan Valley), Cordillera Administrative region (CAR) provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,252,Kph,,,,,2015,8,22,2015,8,22,40,24,318359,,318383,,,,,30299,34639,87.46993221,1;2,2354;2357,24211;24212,"Cordillera Administrative region (CAR), Region II (Cagayan Valley) (Adm1). Ilocos Norte, Ilocos Sur (Adm2)."
2015-0462-PHL,2015,0462,TC-2015-000143,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Koppu (Lando),Philippines (the),PHL,South-Eastern Asia,Asia,"Camarines Norte, Catanduanes districts (Region V (Bicol region) province), Cordillera Administrative region (CAR), National Capital region (NCR) province, Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) provinces",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,210,Kph,16.691,121.24,,,2015,10,14,2015,10,20,51,83,2898507,,2898590,,,,,210985,241209,87.46993221,1;2,2354;2355;2356;2357;67165;67166,24241;24243,"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) (Adm1). Camarines Norte, Catanduanes (Adm2)."
2015-0543-PHL,2015,0543,TC-2015-000168,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Melor (Nona),Philippines (the),PHL,South-Eastern Asia,Asia,"Nueva Vizcaya district (Region II (Cagayan Valley) province), Quezon, Batangas districts (Region IV-A (Calabarzon) province), Marinduque, Mindoro Oriental, Mindoro Occidental, Romblon districts (Region IV (Southern Tagalog) province), Catanduanes, Albay, Masbate, Sorsogon districts (Region V (Bicol region) province), Biliran districts (Region VII (Central Visayas) province), Samar, Northern Samar districts (Region VIII (Eastern Visayas) province), Quezon City area (Metropolitan Manila district, National Capital region (NCR) province)",,Flood,"Slide (land, mud, snow, rock)",,,,,185,Kph,,,,,2015,12,14,2015,12,15,46,24,287227,,287251,,,,,135217,154587,87.46993221,2,,24210;24218;24227;24230;24231;24232;24234;24236;24240;24243;24244;24245;24256;24259;24261,"Albay, Batangas, Biliran, Catanduanes, Marinduque, Masbate, Metropolitan Manila, Mindoro Occidental, Mindoro Oriental, Northern Samar, Nueva Vizcaya, Quezon, Romblon, Samar, Sorsogon (Adm2)."
2015-0121-MEX,2015,0121,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Mexico,MEX,Central America,Americas,"Acuna district (Coahuila province), Veracruz, Oaxaca provinces",,Flood,Hail,,,,,,Kph,,,,,2015,3,26,2015,3,28,14,229,1242,,1471,,,,,2000,2287,87.46993221,1;2,2047;2057,19775,"Oaxaca, Veracruz (Adm1). Acuna (Adm2)."
2015-9411-IDN,2015,9411,,Natural,Climatological,Drought,Drought,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lani Jaya (Jayawijaya district, Papua province), Puncakjaya district (Papua province)",,Cold wave,Food shortage,,,,,,Km2,,,,,2015,7,,2015,7,,11,,,,,,,,,,,87.46993221,2,,73686;73832,"Jayawijaya, Puncakjaya (Adm2)."
2015-0278-PHL,2015,0278,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Linfa (Egay),Philippines (the),PHL,South-Eastern Asia,Asia,"Ilocos Norte, Ilocos Sur, La Union districts (Region I (Ilocos region) province), Palawan district (Region IV (Southern Tagalog) province), Benguet, Abra, Kalinga districts (Cordillera Administrative region (CAR) province)",,"Slide (land, mud, snow, rock)",,,,,,,Kph,,,,,2015,7,4,2015,7,5,,,55567,,55567,,,,,2218,2536,87.46993221,2,,24204;24206;24208;24211;24212;24213;24233,"Abra, Benguet, Ilocos Norte, Ilocos Sur, Kalinga, La Union, Palawan (Adm2)."
2015-0470-MEX,2015,0470,TC-2015-000144,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Patricia,Mexico,MEX,Central America,Americas,"Manzanillo district (Colima province), Coahuila, Nuevo leon, Tamaulipas provinces",,Flood,,,,,,270,Kph,283.812,-101.77,,,2015,10,22,2015,10,28,14,,15000,,15000,,,343000,392135,823000,940895,87.46993221,1;2,2034;2046;2055,19818,"Coahuila, Nuevo Leon, Tamaulipas (Adm1). Manzanillo (Adm2)."
2015-9166-NER,2015,9166,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,"NO DATA: all provinces have been selected: Maradi, Niamey, Tahoua, Tillaberi, Zinder provinces",Climatic conditions and refugees,Food shortage,,,,,,,Km2,,,,,2015,4,,2017,3,,,,2588128,,2588128,,,,,,,87.46993221,1,2205;2206;2207;2208;2209,,"Maradi, Niamey, Tahoua, Tillaberi, Zinder (Adm1)."
2015-0415-IDN,2015,0415,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Sorong district (Papua Barat province),,,,,,,,7,Richter,-0.621,131.262,12:53,,2015,9,24,2015,9,24,,62,12185,,12247,,,,,,,87.46993221,2,,73855,Sorong (Adm2).
2015-0187-MEX,2015,0187,,Natural,Meteorological,Storm,Convective storm,Tornado,,Mexico,MEX,Central America,Americas,Acuna district (Coahuila province),,,,,,,,200,Kph,,,,,2015,5,25,2015,5,26,14,229,1350,741,2320,,,,,,,87.46993221,2,,19775,Acuna (Adm2).
